Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),2% Milk,venti,coffee,180,2,1,0.1,10,55,36,36,4,6%,0%,10%,0%,170
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Soymilk,venti,coffee,170,1.5,0.2,0,0,45,34,33,3,4%,0%,10%,0%,170
Shaken Iced Beverages,Shaken Iced Tazo Tea (With Classic Syrup),Tall,tall,tea,60,0,0,0,0,0,15,15,0,0%,0%,0%,6%,170
Shaken Iced Beverages,Shaken Iced Tazo Tea (With Classic Syrup),Grande,grande,tea,80,0,0,0,0,0,21,21,0,0%,0%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea (With Classic Syrup),Venti,venti,tea,120,0,0,0,0,0,31,31,0,0%,0%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea Lemonade (With Classic Syrup),Tall,tall,tea,100,0,0,0,0,0,25,24,0.1,0%,10%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea Lemonade (With Classic Syrup),Grande,grande,tea,130,0,0,0,0,0,33,33,0.1,0%,15%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea Lemonade (With Classic Syrup),Venti,venti,tea,190,0,0,0,0,0,49,49,0.1,0%,20%,0%,0%,Varies
Smoothies,Banana Chocolate Smoothie,Grande Nonfat Milk,grande,smoothies,280,2.5,1.5,0,5,150,53,34,20,10%,15%,20%,0%,Varies
Smoothies,Banana Chocolate Smoothie,2% Milk,grande,smoothies,300,5,2.5,0.1,15,160,53,34,20,8%,15%,20%,20%,15
Smoothies,Banana Chocolate Smoothie,Soymilk,grande,smoothies,290,4.5,1.5,0,5,150,51,31,19,6%,15%,20%,20%,15
